fish_table_id,fish_indiv,distance_m,date,site,anem_table_id,fish_obs_time,fish_spp,size,color,sex,fin_id,sample_id,tag_id,recap
2692,2,9.907040949171419,2014-06-23,Wangag,2225,NA,APCL,9.4,YP,F,357,APCL14_357,NA,NA
8072,2,9.907040949171419,2016-06-05,Wangag,7810,NA,APCL,9.4,YP,F,601,APCL16_601,985153000356762,N
6251,3,341.58523376956185,2015-06-07,Hicgop South,6595,NA,APCL,4.3,YR,J,98,APCL15_098,NA,NA
7547,3,341.58523376956185,2016-05-25,Hicgop South,7296,NA,APCL,9.6,O,M,264,APCL16_264,985153000400657,N
2827,4,13.43430969435711,2014-06-24,Wangag,2383,NA,APCL,4.1,W,J,328,APCL14_328,NA,NA
8379,4,13.43430969435711,2016-06-15,Wangag,8080,NA,APCL,9.2,O,M,807,APCL16_807,986112100170625,N
7502,4,13.43430969435711,2016-05-21,Wangag,7222,NA,APCL,8.6,O,M,241,APCL16_241,985153000406699,N
2827,4,11.86106552614497,2014-06-24,Wangag,2383,NA,APCL,4.1,W,J,328,APCL14_328,NA,NA
8379,4,11.86106552614497,2016-06-15,Wangag,8080,NA,APCL,9.2,O,M,807,APCL16_807,986112100170625,N
2615,5,22.387921102409102,2014-06-22,Sitio Baybayon,2180,NA,APCL,4.6,YR,J,295,APCL14_295,NA,NA
6680,5,22.387921102409102,2015-06-14,Sitio Baybayon,6778,NA,APCL,9.4,YP,F,355541,APCL15_355541,985153000355541,N
2885,6,239.00967424348497,2014-06-24,Wangag,2428,NA,APCL,4.8,W,J,437,APCL14_437,NA,NA
5906,6,239.00967424348497,2015-05-30,Palanas,6359,NA,APCL,8.2,O,M,399786,APCL15_399786,985153000399786,N
2589,7,18.861662573334463,2014-06-22,Sitio Baybayon,2166,NA,APCL,7.8,O,M,280,APCL14_280,NA,NA
6656,7,18.861662573334463,2015-06-14,Sitio Baybayon,6769,NA,APCL,10,O,M,355571,APCL15_355571,985153000355571,N
1795,8,9.154491874690903,2014-06-07,Visca,1730,NA,APCL,10.2,YP,F,7,APCL14_007,NA,NA
