fish_indiv,lat,lon,site
1023,10.74340172228125,124.78690892807501,Visca
1023,10.742917264,124.787197899425,Visca
1023,10.7434902247125,124.786593207975,Visca
1023,10.743818220992592,124.78653123291112,Visca
1028,10.63291679897,124.7769496461,Sitio Baybayon
1028,10.632886534445834,124.77693970254167,Sitio Baybayon
1028,10.63399525,124.7767205,Sitio Baybayon
1029,10.8714081196,124.7140270918375,Wangag
1029,10.871426329945,124.714038936625,Wangag
1029,10.871502375705001,124.714159404395,Wangag
1036,10.873605709693182,124.71158159949091,Palanas
1036,10.87367508616875,124.71129246843125,Palanas
1036,10.873688061790626,124.71136709327187,Palanas
1044,10.871426329945,124.714038936625,Wangag
1044,10.871394532725,124.71404960146667,Wangag
1044,10.87163242875,124.7138777321875,Wangag
1046,10.869933017775,124.71519328198333,Wangag
1046,10.871418218591668,124.71397876738334,Wangag
1046,10.871424302487501,124.7139837197,Wangag
1046,10.871443317508334,124.714019117875,Wangag
1113,10.871380496525001,124.7144852823,Wangag
1113,10.8716288628,124.7140538971875,Wangag
1113,10.87182889695,124.713756088175,Wangag
1116,10.869848127475,124.7158867469875,Wangag
1116,10.8698346011875,124.7158523392875,Wangag
1116,10.869896408325,124.7158834637,Wangag
1128,10.870318516669231,124.71497854362308,Wangag
1128,10.8703159634125,124.7149541869125,Wangag
1128,10.870500075385714,124.71477345045714,Wangag
1162,10.8735645480875,124.71112948804583,Palanas
1162,10.873615320964285,124.71105259173929,Palanas
1162,10.873707509145833,124.71114425169166,Palanas
1193,10.873888274905001,124.71070215117,Palanas
1193,10.874051002325,124.71064847661,Palanas
1193,10.874085290470589,124.71070091895882,Palanas
1250,10.87440853005926,124.71071694046667,Palanas
1250,10.874399102775,124.710595565825,Palanas
1250,10.87441972223125,124.7107334429125,Palanas
1283,10.87416311550625,124.7106468473875,Palanas
1283,10.8744149794875,124.71058537485416,Palanas
1283,10.8745104773,124.710576999925,Palanas
1283,10.87449548284762,124.71059702397143,Palanas
1372,10.873869949725,124.71072207670834,Palanas
1372,10.874399794275,124.710588420275,Palanas
1372,10.874457235658333,124.71073745825,Palanas
14,10.8737365,124.710796,Palanas
14,10.8744149794875,124.71058537485416,Palanas
14,10.8743953021875,124.71068066238438,Palanas
1456,10.743289153325,124.7868924890625,Visca
1456,10.7436589314625,124.786780412525,Visca
1456,10.743589958887501,124.78692047415001,Visca
1472,10.8728824425,124.71218320913928,Palanas
1472,10.87284549172857,124.71195579975715,Palanas
1472,10.872967550991667,124.712179694875,Palanas
1473,10.8693067194,124.71634410555,Wangag
1473,10.869293699250001,124.7163249626125,Wangag
1473,10.869314137375,124.71633752574999,Wangag
1473,10.869333667225,124.716370885725,Wangag
1654,10.87411597444375,124.71076774755625,Palanas
1654,10.87413108302,124.71075216075,Palanas
1654,10.874328652875,124.71085293218333,Palanas
1663,10.871537535,124.71413565568334,Wangag
1663,10.871545714325,124.714100766,Wangag
1663,10.871567758725,124.71411718055,Wangag
1664,10.714937561921428,124.76378339043214,Wangag
1664,10.87139985525,124.71400184558333,Wangag
1664,10.871545714325,124.714100766,Wangag
1666,10.87149896235,124.71416403816875,Wangag
1666,10.87147820334375,124.71413171268125,Wangag
1666,10.871478416621429,124.714111750275,Wangag
1666,10.8714907185625,124.71407332225,Wangag
1666,10.871744235505,124.713829471725,Wangag
1666,10.871834848075,124.713810277175,Wangag
1666,10.8719600229125,124.7138934657375,Wangag
1749,10.869779249183333,124.71591020235,Wangag
1749,10.869789265575001,124.71576059935,Wangag
1749,10.8697866043125,124.71587991575001,Wangag
1752,10.871478416621429,124.714111750275,Wangag
1752,10.871491860625,124.7141195694,Wangag
1752,10.871507069555001,124.714164739485,Wangag
1775,10.871566323325,124.714217616725,Wangag
1775,10.8715776598625,124.71418980975,Wangag
1775,10.8715846901875,124.714189820225,Wangag
2000,10.869293699250001,124.7163249626125,Wangag
2000,10.869314137375,124.71633752574999,Wangag
2000,10.8693067194,124.71634410555,Wangag
2005,10.86946884635,124.7163030656625,Wangag
2005,10.869810656175,124.71579905134,Wangag
2005,10.869825391574999,124.71578792435,Wangag
2132,10.63268292019091,124.77675601925455,Sitio Baybayon
2132,10.632684517191667,124.776737582875,Sitio Baybayon
2132,10.63269290607,124.77669088728,Sitio Baybayon
2145,10.87135997135,124.714164601175,Wangag
2145,10.871390167175,124.7141502891,Wangag
2145,10.871425622625,124.714173611725,Wangag
2187,10.8698429621375,124.715963535725,Wangag
2187,10.869819723300001,124.715892121875,Wangag
2187,10.869810656175,124.71579905134,Wangag
2187,10.8699066750625,124.715946970975,Wangag
2208,10.869725364025,124.71594619564999,Wangag
2208,10.869696860325,124.71593384805625,Wangag
2208,10.8697512746,124.715930500525,Wangag
2208,10.8698525,124.71595350000001,Wangag
2257,10.8702360419625,124.715130772675,Wangag
2257,10.8702483424,124.715101174075,Wangag
2257,10.870258254,124.715082838675,Wangag
2257,10.870286542925001,124.7152036219,Wangag
2288,10.869629743975,124.71601955825834,Wangag
2288,10.8716288628,124.7140538971875,Wangag
2288,10.8716603578,124.71405052347501,Wangag
2296,10.871515371841667,124.71427105134167,Wangag
2296,10.871527500000001,124.714255,Wangag
2296,10.87153268309375,124.7142617579125,Wangag
2307,10.8714081196,124.7140270918375,Wangag
2307,10.871463355133333,124.713885399975,Wangag
2307,10.87143591145625,124.7140129108125,Wangag
2309,10.8735645480875,124.71112948804583,Palanas
2309,10.873527176645833,124.71100926334583,Palanas
2309,10.873688061790626,124.71136709327187,Palanas
2327,10.65242568241,124.783654082505,Tamakin Dacot
