fish_indiv,date,anem_id,old_anem_id,anem_obs,second_year,later_year
1046,17599,2903,1140,670,TRUE,NA
2213,16597,2151,NA,256,TRUE,NA
2213,16959,2153,NA,258,TRUE,NA
1102,16959,2542,NA,NA,FALSE,FALSE
1102,17319,2768,778,585,FALSE,FALSE
1113,16955,2458,NA,419,NA,NA
1113,17300,2607,NA,NA,NA,NA
1113,17598,2968,NA,700,NA,NA
1113,17626,2968,NA,700,NA,NA
1116,16956,2473,597,430,NA,NA
1116,17316,2725,NA,573,NA,NA
1116,17316,2729,NA,577,NA,NA
1116,17622,2729,NA,577,NA,NA
1128,16955,2465,601,NA,FALSE,FALSE
1128,17327,2060,NA,222,FALSE,FALSE
1128,17600,2864,NA,650,FALSE,FALSE
2096,16243,563,NA,873,NA,NA
2096,16600,563,NA,873,NA,NA
2096,17606,2172,NA,272,NA,NA
1154,16585,921,NA,1053,FALSE,FALSE
1154,17305,2631,919,1051,FALSE,FALSE
1162,16584,478,NA,510,NA,NA
1162,16936,2220,957,316,NA,NA
1162,16966,2220,NA,316,NA,NA
1162,17305,2216,NA,311,NA,NA
1162,17594,2216,476,311,NA,NA
1171,16955,2464,NA,423,NA,NA
1171,17600,2464,NA,423,NA,NA
1178,16585,915,NA,439,TRUE,NA
1178,16957,2477,878,433,TRUE,NA
2052,16243,553,NA,865,TRUE,NA
2052,16600,574,NA,882,TRUE,NA
1191,16949,2316,NA,398,NA,NA
1191,16968,2316,NA,398,NA,NA
1193,16584,2006,NA,183,TRUE,NA
1193,16934,2003,NA,180,TRUE,NA
1193,17301,2613,NA,496,TRUE,NA
1208,16583,1288,NA,109,FALSE,FALSE
1208,16940,2274,NA,NA,FALSE,FALSE
2135,16243,536,NA,849,TRUE,NA
2135,16600,1005,NA,5,TRUE,NA
1239,16588,2086,NA,NA,FALSE,FALSE
1239,16951,2412,1092,44,FALSE,FALSE
1243,16584,1033,NA,19,NA,NA
1243,16934,1033,NA,19,NA,NA
1243,17306,2642,NA,518,NA,NA
1243,17328,2642,NA,518,NA,NA
1243,17597,2642,493,518,NA,NA
1243,17621,2642,NA,518,NA,NA
1250,16584,949,NA,1069,NA,NA
1250,16935,2205,948,301,NA,NA
1250,16966,2205,NA,301,NA,NA
1250,17302,2622,NA,NA,NA,NA
1250,17302,2205,NA,301,NA,NA
1250,17597,2205,948,301,NA,NA
1250,17621,2205,948,301,NA,NA
1263,16584,1026,NA,13,NA,NA
1263,16935,1026,NA,13,NA,NA
1263,16966,2566,950,472,NA,NA
1271,16938,1282,NA,105,TRUE,NA
1271,16952,2254,NA,345,TRUE,NA
1275,16954,2433,933,411,NA,NA
1275,17614,2433,NA,411,NA,NA
1280,16584,948,NA,301,NA,NA
1280,16935,2205,948,301,NA,NA
1280,17302,2205,NA,301,NA,NA
