fish_indiv,anem_obs,times_on_anem,num_anems_visited
2397,529,5,2
2399,470,5,1
24,279,1,2
24,846,1,2
2403,290,1,2
2403,513,1,2
2404,422,1,1
2405,758,1,1
2406,170,1,2
2406,171,1,2
2407,617,3,2
2407,845,3,2
2408,452,2,1
2409,470,1,2
2409,471,1,2
2411,182,2,1
2412,646,1,1
2413,470,1,2
2413,471,1,2
2414,468,1,1
2415,215,1,1
2416,13,3,3
2416,303,3,3
2416,472,3,3
2417,390,14,1
2420,352,1,2
2420,789,1,2
2424,439,1,4
2424,443,5,4
2424,444,4,4
2424,731,4,4
2425,107,1,2
2425,394,1,2
2426,107,2,3
2426,393,1,3
2426,395,2,3
2427,340,8,2
2427,741,1,2
2428,45,4,2
2428,708,1,2
2429,111,2,2
2429,208,3,2
2430,58,1,2
2430,479,1,2
2431,190,1,2
2431,191,1,2
2432,451,1,2
2432,947,1,2
2433,364,2,1
2434,460,2,1
2447,390,7,1
2466,179,9,1
2484,370,1,1
2489,400,3,2
2489,401,3,2
2496,353,2,1
2497,354,1,1
2499,274,1,2
2499,999,1,2
2503,716,2,1
2504,268,1,1
2505,98,3,2
2505,385,2,2
2511,302,2,1
2514,178,2,1
2524,379,1,1
2527,56,3,3
2527,429,2,3
2527,572,4,3
2529,243,1,2
2529,246,1,2
2530,251,1,1
2538,207,2,3
2538,208,2,3
2538,698,1,3
2542,91,2,1
2543,297,2,1
2545,606,1,2
2545,756,1,2
2546,139,1,1
2548,306,2,2
2548,501,3,2
2552,229,4,1
2556,662,1,1
2558,64,2,3
2558,198,1,3
2558,931,2,3
2559,606,2,2
2559,798,2,2
2560,62,1,3
2560,63,3,3
2560,199,5,3
2562,425,1,1
2563,222,1,1
2565,40,8,3
2565,366,1,3
2565,368,4,3
2569,14,2,3
2569,15,2,3
2569,187,1,3
2570,297,2,1
2575,527,1,1
2577,647,1,2
2577,648,1,2
2581,544,1,1
2583,553,2,1
2584,559,2,1
2585,449,1,2
2585,563,1,2
2588,583,3,2
2588,584,2,2
2597,392,9,1
2598,171,1,3
2598,480,2,3
2598,663,2,3
26,864,2,1
2602,321,1,2
2602,1053,1,2
2603,505,1,2
2603,779,1,2
2604,443,1,2
2604,445,1,2
2605,647,1,2
2605,996,1,2
2606,255,2,1
2607,303,1,2
2607,473,1,2
2608,66,2,1
2615,198,3,2
2615,662,1,2
2616,115,1,2
2616,387,4,2
2617,262,6,1
2618,264,1,2
2618,593,1,2
2619,465,5,2
2619,591,4,2
2620,254,6,2
2620,255,3,2
2622,500,1,2
2622,509,4,2
2623,622,5,1
2624,318,5,1
2625,297,3,4
2625,496,2,4
2625,498,1,4
2625,1062,3,4
2640,449,3,2
2640,563,4,2
2641,256,1,2
2641,595,1,2
2642,456,1,2
2642,596,1,2
2643,456,2,1
2645,565,1,1
2646,795,1,1
2647,542,1,1
2648,542,1,1
2649,545,3,1
2650,616,1,1
2651,601,1,3
2651,607,2,3
2651,608,2,3
2653,638,1,1
2654,639,2,1
2655,98,1,2
2655,385,1,2
2656,395,1,2
2656,540,1,2
2657,574,1,1
2665,290,1,2
2665,513,1,2
2666,289,1,2
2666,513,1,2
2668,116,3,2
2668,387,2,2
2672,229,1,1
2686,365,1,2
2686,486,1,2
2690,191,1,3
2690,297,2,3
2690,500,2,3
2691,185,2,3
2691,191,3,3
2691,501,4,3
2692,16,6,2
2692,187,3,2
2696,653,2,1
27,7,2,1
2703,201,2,1
2704,922,1,1
2705,377,2,1
2706,377,1,1
2707,287,1,1
2711,312,2,1
2712,262,9,1
2720,188,1,2
2720,306,1,2
2723,169,1,1
2724,646,1,2
2724,1002,1,2
2725,59,1,2
2725,61,1,2
2730,646,1,2
2730,982,1,2
2733,452,2,1
2734,452,2,1
2735,450,2,1
2740,542,1,2
2740,795,1,2
2744,275,3,2
2744,799,2,2
2746,276,1,2
2746,755,1,2
2747,352,2,1
2750,646,1,1
2754,479,1,1
2756,529,2,1
2758,45,1,2
2758,422,1,2
2759,109,2,2
2759,539,3,2
277,911,1,1
2772,286,2,2
2772,691,3,2
281,71,2,3
281,673,1,3
281,932,2,3
299,443,2,1
3,117,1,2
3,378,1,2
302,299,6,3
302,300,4,3
302,1069,5,3
337,198,2,1
372,792,1,1
4,480,2,2
4,664,2,2
409,170,1,1
433,61,1,1
463,247,1,1
5,272,1,2
5,871,1,2
517,848,2,1
527,211,1,1
532,372,1,2
532,905,1,2
535,276,2,1
570,341,1,2
570,742,1,2
574,143,1,2
574,834,1,2
578,50,1,2
578,217,1,2
6,195,1,2
6,707,1,2
689,41,1,1
7,7,1,1
705,197,1,2
705,920,1,2
738,191,1,2
738,496,1,2
753,869,2,1
758,228,1,1
779,795,1,2
779,796,1,2
783,849,2,1
8,106,4,3
8,396,2,3
8,1004,3,3
895,896,1,1
897,2,1,1
962,271,1,1
970,198,1,1
982000411818438,72,2,2
982000411818438,492,2,2
982000411818448,189,2,1
982000411818450,383,2,1
982000411818483,494,2,1
982000411818484,188,1,2
982000411818484,189,4,2
982000411818488,321,1,2
982000411818488,322,1,2
982000411818494,383,2,1
982000411818504,310,1,2
982000411818504,497,1,2
982000411818534,561,1,1
982000411818571,548,1,2
982000411818571,551,1,2
982000411818572,254,1,2
982000411818572,600,4,2
982000411818575,548,1,2
982000411818575,551,1,2
982000411818581,73,1,2
982000411818581,266,1,2
982000411818588,546,1,1
982000411818594,604,1,2
982000411818594,606,4,2
982000411818601,632,1,1
982000411818611,603,1,3
982000411818611,604,2,3
982000411818611,605,2,3
982000411818618,638,2,1
982000411818637,255,2,1
982126052697376,661,1,2
982126052697376,703,1,2
982126052697394,705,2,1
982126052697406,706,2,1
982126052697418,704,2,1
982126052697419,671,1,1
982126052697421,705,2,1
982126052697430,274,1,2
982126052697430,275,1,2
982126052697434,19,2,1
982126052950991,710,2,1
982126052951068,421,2,1
982126052951073,576,1,1
982126052951087,636,2,1
985153000351496,312,2,1
985153000352306,195,2,2
985153000352306,1051,1,2
985153000354371,458,2,1
985153000355459,437,3,2
985153000355459,569,6,2
985153000355839,256,1,2
985153000355839,457,1,2
985153000356731,262,1,2
985153000356731,583,1,2
985153000369925,448,1,2
985153000369925,449,1,2
985153000370198,466,5,1
985153000371766,115,6,3
985153000371766,387,1,3
985153000371766,955,2,3
985153000373100,277,2,1
985153000375914,16,10,2
985153000375914,187,10,2
985153000401241,224,2,3
985153000401241,556,1,3
985153000401241,692,2,3
985153000401598,201,3,1
985153000402306,504,1,1
985153000402631,311,9,1
985153000403050,400,1,1
985153000403605,533,1,2
985153000403605,534,2,2
985153000403761,336,2,1
985153000403821,258,1,2
985153000403821,456,1,2
985153000404088,348,1,1
985153000404499,338,2,1
985153000405269,433,1,2
985153000405269,439,1,2
985153000405499,337,2,1
985153000406299,441,2,1
985153000406793,314,3,2
985153000406793,690,2,2
985153000407066,318,1,2
985153000407066,319,1,2
985153000407303,192,2,2
985153000407303,306,1,2
986112100163135,353,2,1
986112100163663,316,2,2
986112100163663,476,1,2
986112100164084,684,2,1
986112100164101,686,2,1
986112100164868,311,3,3
986112100164868,476,1,3
986112100164868,690,3,3
986112100165030,222,1,2
986112100165030,650,1,2
986112100166148,303,1,2
986112100166148,473,1,2
986112100168403,465,2,2
986112100168403,591,3,2
986112100169386,266,2,1
986112100171820,188,1,2
986112100171820,310,1,2
986112100172006,505,1,1
986112100172294,300,6,2
986112100172294,301,3,2
986112100172301,681,5,1
986112100172338,489,2,1
986112100172380,359,2,1
986112100172598,688,2,1
986112100172739,683,2,1
986112100175698,281,1,1
986112100177486,466,1,2
986112100177486,593,1,2
